EventDate,Location,Country,Latitude,Longitude,InjurySeverity,Aircraftdamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberofEngines,EngineType,FARDescription,Purposeofflight,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,Abbreviation,Broadphaseofflight,US_State
2001-06-03,"LYTLE CREEK, CA",United States,34.241389,-117.539722,Fatal(1),Substantial,Airplane,N8253W,Piper,PA-28-181,No,1,Reciprocating,Part 91: General Aviation,Personal,1,0,0,0,VMC,CA,Maneuvering,California
2003-06-21,"Cushing, OK",United States,35.935833,-96.779167,Fatal(1),Destroyed,Airplane,N8548S,Cessna,182H,No,1,Reciprocating,Part 91: General Aviation,Skydiving,1,2,2,1,VMC,OK,Maneuvering,Oklahoma
2006-11-04,"Yuba City, CA",United States,38.967778,-121.626945,Fatal(2),Destroyed,Airplane,N158MD,Aircraft mfg & dev. co. (amd),CH601XL SLSA,No,1,Reciprocating,Part 91: General Aviation,Personal,2,0,0,0,VMC,CA,Cruise,California
2006-12-07,"Summersville, WV",United States,38.248611,-80.976111,Fatal(1),Destroyed,Airplane,N9165T,Mooney,M20R,No,1,Reciprocating,Part 91: General Aviation,Personal,1,0,0,0,IMC,WV,Cruise,West Virginia
2007-01-15,"ADJUNTAS, PR",United States,18.147222,-66.798333,Fatal(2),Substantial,Airplane,N90KB,Partenavia,P 68C,No,2,Reciprocating,Part 91: General Aviation,Personal,2,0,0,0,IMC,PR,Descent,Puerto Rico
2007-03-07,"Tooele, UT",United States,40.778334,-113.083889,Fatal(3),Destroyed,Airplane,N9381W,Piper,PA-28-235,No,1,Reciprocating,Part 91: General Aviation,Personal,3,0,0,0,VMC,UT,Cruise,Utah
2007-04-19,"WELAKA, FL",United States,29.658611,-81.688611,Fatal(2),Substantial,Airplane,N2874B,Cessna,U206G,No,1,Reciprocating,Part 91: General Aviation,Personal,2,0,0,0,IMC,FL,Takeoff,Florida
2007-04-20,"CUDJOE KEY, FL",United States,24.696944,-81.498333,Fatal(3),Substantial,Airplane,N422G,Cessna,182Q,No,1,Reciprocating,Part 91: General Aviation,Personal,3,0,0,0,VMC,FL,Cruise,Florida
2007-04-26,"DAWSONVILLE, GA",United States,34.593889,-84.226945,Fatal(1),Substantial,Airplane,N9247T,Piper aircraft,PA-38-112,No,1,Reciprocating,Part 91: General Aviation,Personal,1,0,0,0,VMC,GA,Cruise,Georgia
2007-05-03,"Dillon, MT",United States,45.253333,-112.548889,Fatal(2),Destroyed,Airplane,N22HP,Cessna,S550,No,2,Turbo Jet,Part 91: General Aviation,Personal,2,0,0,0,VMC,MT,Approach,Montana
